		Auto Differential Pair Results

	Using net suffixes:  / *
	Number generated: 62


Diffpair                   Net+                     Net-                    
---------------------------------------------------------------------
CTRIG2                     CTRIG2                   CTRIG2*                 
CTRIG1                     CTRIG1                   CTRIG1*                 
TRIG2                      TRIG2                    TRIG2*                  
TRIG1                      TRIG1                    TRIG1*                  
TRIG0                      TRIG0                    TRIG0*                  
SPARE2                     SPARE2                   SPARE2*                 
SPARE1                     SPARE1                   SPARE1*                 
DUT_CLK0                   DUT_CLK0                 DUT_CLK0*               
CONT2                      CONT2                    CONT2*                  
CONT1                      CONT1                    CONT1*                  
CONT0                      CONT0                    CONT0*                  
CLK2                       CLK2                     CLK2*                   
CLK1                       CLK1                     CLK1*                   
BUSY2                      BUSY2                    BUSY2*                  
BUSY1                      BUSY1                    BUSY1*                  
BUSY0                      BUSY0                    BUSY0*                  
BEAM_TRIGGER_CFD3          BEAM_TRIGGER_CFD<3>      BEAM_TRIGGER_CFD*<3>    
BEAM_TRIGGER_CFD2          BEAM_TRIGGER_CFD<2>      BEAM_TRIGGER_CFD*<2>    
BEAM_TRIGGER_CFD1          BEAM_TRIGGER_CFD<1>      BEAM_TRIGGER_CFD*<1>    
BEAM_TRIGGER_CFD0          BEAM_TRIGGER_CFD<0>      BEAM_TRIGGER_CFD*<0>    
GBTCLK0_M2C                GBTCLK0_M2C              GBTCLK0_M2C*            
FMC_LA9                    FMC_LA<9>                FMC_LA*<9>              
FMC_LA8                    FMC_LA<8>                FMC_LA*<8>              
FMC_LA7                    FMC_LA<7>                FMC_LA*<7>              
FMC_LA6                    FMC_LA<6>                FMC_LA*<6>              
FMC_LA5                    FMC_LA<5>                FMC_LA*<5>              
FMC_LA4                    FMC_LA<4>                FMC_LA*<4>              
FMC_LA3                    FMC_LA<3>                FMC_LA*<3>              
FMC_LA33                   FMC_LA<33>               FMC_LA*<33>             
FMC_LA32                   FMC_LA<32>               FMC_LA*<32>             
FMC_LA31                   FMC_LA<31>               FMC_LA*<31>             
FMC_LA30                   FMC_LA<30>               FMC_LA*<30>             
FMC_LA2                    FMC_LA<2>                FMC_LA*<2>              
FMC_LA29                   FMC_LA<29>               FMC_LA*<29>             
FMC_LA28                   FMC_LA<28>               FMC_LA*<28>             
FMC_LA27                   FMC_LA<27>               FMC_LA*<27>             
FMC_LA26                   FMC_LA<26>               FMC_LA*<26>             
FMC_LA25                   FMC_LA<25>               FMC_LA*<25>             
FMC_LA24                   FMC_LA<24>               FMC_LA*<24>             
FMC_LA23                   FMC_LA<23>               FMC_LA*<23>             
FMC_LA22                   FMC_LA<22>               FMC_LA*<22>             
FMC_LA21                   FMC_LA<21>               FMC_LA*<21>             
FMC_LA20                   FMC_LA<20>               FMC_LA*<20>             
FMC_LA1                    FMC_LA<1>                FMC_LA*<1>              
FMC_LA19                   FMC_LA<19>               FMC_LA*<19>             
FMC_LA18                   FMC_LA<18>               FMC_LA*<18>             
FMC_LA17                   FMC_LA<17>               FMC_LA*<17>             
FMC_LA16                   FMC_LA<16>               FMC_LA*<16>             
FMC_LA15                   FMC_LA<15>               FMC_LA*<15>             
FMC_LA14                   FMC_LA<14>               FMC_LA*<14>             
FMC_LA13                   FMC_LA<13>               FMC_LA*<13>             
FMC_LA12                   FMC_LA<12>               FMC_LA*<12>             
FMC_LA11                   FMC_LA<11>               FMC_LA*<11>             
FMC_LA10                   FMC_LA<10>               FMC_LA*<10>             
FMC_LA0                    FMC_LA<0>                FMC_LA*<0>              
FMC_CLK1_M2C               FMC_CLK1_M2C             FMC_CLK1_M2C*           
DP0_M2C                    DP0_M2C                  DP0_M2C*                
DP0_C2M                    DP0_C2M                  DP0_C2M*                
BEAM_TRIGGER3              BEAM_TRIGGER<3>          BEAM_TRIGGER*<3>        
BEAM_TRIGGER2              BEAM_TRIGGER<2>          BEAM_TRIGGER*<2>        
BEAM_TRIGGER1              BEAM_TRIGGER<1>          BEAM_TRIGGER*<1>        
BEAM_TRIGGER0              BEAM_TRIGGER<0>          BEAM_TRIGGER*<0>        

